Owner;Name;Type;Final;Array;Access
java.lang.VersionProps;VENDOR_VERSION;String;FALSE;FALSE;private
java.lang.VersionProps;java_version_date;String;TRUE;FALSE;private
java.lang.VersionProps;VERSION_NUMBER;String;TRUE;FALSE;private
java.lang.VersionProps;VENDOR_URL_BUG;String;FALSE;FALSE;private
java.net.URL;factory;URLStreamHandlerFactory;FALSE;FALSE;private
java.net.URL;gate;ThreadLocal<Object>;FALSE;FALSE;private
java.net.URL;streamHandlerLock;Object;TRUE;FALSE;private
java.net.URL;protocolPathProp;String;TRUE;FALSE;private
java.net.URL;defaultFactory;URLStreamHandlerFactory;TRUE;FALSE;private
java.net.URL.DefaultFactory;PREFIX;String;FALSE;FALSE;private
java.nio.ByteOrder;NATIVE_ORDER;ByteOrder;TRUE;FALSE;private
java.nio.charset.Charset;standardProvider;CharsetProvider;TRUE;FALSE;private
java.nio.charset.Charset;defaultCharset;Charset;FALSE;FALSE;private
java.nio.charset.Charset;gate;ThreadLocal<ThreadLocal<?>>;FALSE;FALSE;private
java.security.AccessControlContext;debug;Debug;FALSE;FALSE;private
java.security.ProtectionDomain.DebugHolder;debug;Debug;TRUE;FALSE;private
java.security.SecureClassLoader.DebugHolder;debug;Debug;TRUE;FALSE;private
java.security.UnresolvedPermission;debug;sun.security.util.Debug;TRUE;FALSE;private
java.util.Collections;r;Random;FALSE;FALSE;private
java.util.Collections.UnmodifiableNavigableMap;EMPTY_NAVIGABLE_MAP;EmptyNavigableMap<?,?>;TRUE;FALSE;private
java.util.Collections.UnmodifiableNavigableSet;EMPTY_NAVIGABLE_SET;NavigableSet<?>;TRUE;FALSE;private
java.util.concurrent.atomic.AtomicInteger;U;jdk.internal.misc.Unsafe;TRUE;FALSE;private
java.util.concurrent.ConcurrentHashMap;U;Unsafe;TRUE;FALSE;private
java.util.concurrent.ConcurrentHashMap.CollectionView;OOME_MSG;String;TRUE;FALSE;private
java.util.concurrent.ConcurrentHashMap.TreeBin;U;Unsafe;TRUE;FALSE;private
java.util.concurrent.locks.LockSupport;U;Unsafe;TRUE;FALSE;private
java.util.HashSet;PRESENT;Object;TRUE;FALSE;private
java.util.Locale;defaultLocale;Locale;FALSE;FALSE;private
java.util.Locale;LOCALECACHE;Cache;TRUE;FALSE;private
java.util.Locale;defaultDisplayLocale;Locale;FALSE;FALSE;private
java.util.Locale;defaultFormatLocale;Locale;FALSE;FALSE;private
java.util.Locale.IsoCountryCode;iso3166CodesMap;Map<IsoCountryCode,Set<String>>;FALSE;FALSE;private
java.util.Locale.LocaleNameGetter;INSTANCE;LocaleNameGetter;TRUE;FALSE;private
java.util.Optional;EMPTY;Optional<?>;TRUE;FALSE;private
java.util.Properties;UNSAFE;Unsafe;TRUE;FALSE;private
java.util.WeakHashMap;NULL_KEY;Object;TRUE;FALSE;private
jdk.internal.access.SharedSecrets;javaLangModuleAccess;JavaLangModuleAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaNetURLAccess;JavaNetURLAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaIOAccess;JavaIOAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaAWTAccess;JavaAWTAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaLangInvokeAccess;JavaLangInvokeAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaUtilZipFileAccess;JavaUtilZipFileAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaUtilResourceBundleAccess;JavaUtilResourceBundleAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaBeansAccess;JavaBeansAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaLangAccess;JavaLangAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaUtilJarAccess;JavaUtilJarAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaSecurityAccess;JavaSecurityAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaNetHttpCookieAccess;JavaNetHttpCookieAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaIOFileDescriptorAccess;JavaIOFileDescriptorAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaNetUriAccess;JavaNetUriAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaIORandomAccessFileAccess;JavaIORandomAccessFileAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaxCryptoSealedObjectAccess;JavaxCryptoSealedObjectAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaObjectInputFilterAccess;JavaObjectInputFilterAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaLangRefAccess;JavaLangRefAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaNetInetAddressAccess;JavaNetInetAddressAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaObjectInputStreamAccess;JavaObjectInputStreamAccess;FALSE;FALSE;private
