Owner;Name;Type
java.io.ObjectStreamClass;reflFactory;jdk.internal.reflect.ReflectionFactory
javax.crypto.Cipher;debug;sun.security.util.Debug
java.net.InetAddress;expirySet;java.util.NavigableSet<java.net.InetAddress$CachedAddresses>
java.lang.invoke.LambdaForm;IMPL_NAMES;java.lang.invoke.MemberName$Factory
sun.invoke.util.Wrapper;FLOAT_ZERO;java.lang.Object
java.lang.ClassValue;CRITICAL_SECTION;java.lang.Object
jdk.internal.loader.ClassLoaders;BOOT_LOADER;jdk.internal.loader.ClassLoaders$BootClassLoader
java.lang.ModuleLayer;CLV;jdk.internal.loader.ClassLoaderValue<java.util.List<java.lang.ModuleLayer>>
java.util.zip.ZipFile;JLA;jdk.internal.misc.JavaLangAccess
sun.invoke.util.Wrapper;DOUBLE_ZERO;java.lang.Object
java.time.ZoneOffset;SECONDS_CACHE;java.util.concurrent.ConcurrentMap<java.lang.Integer, java.time.ZoneOffset>
java.lang.ModuleLayer;EMPTY_LAYER;java.lang.ModuleLayer
java.util.jar.JarFile;JUZFA;jdk.internal.misc.JavaUtilZipFileAccess
java.io.ObjectInputStream;primClasses;java.util.Map<java.lang.String, java.lang.Class<?>>
java.lang.invoke.ClassSpecializer;CREATE_RESERVATION;java.util.function.Function<java.lang.Object, java.lang.Object>
java.util.OptionalLong;EMPTY;java.util.OptionalLong
java.lang.invoke.BoundMethodHandle$Specializer;SPECIES_DATA_ACCESSOR;java.lang.invoke.MemberName
java.lang.SecurityManager;packageAccessLock;java.lang.Object
jdk.internal.loader.ClassLoaders;JLA;jdk.internal.misc.JavaLangAccess
java.util.ResourceBundle;cacheList;java.util.concurrent.ConcurrentMap<java.util.ResourceBundle$CacheKey, java.util.ResourceBundle$BundleReference>
java.util.concurrent.ConcurrentHashMap;U;jdk.internal.misc.Unsafe
java.lang.invoke.LambdaForm;createFormsLock;java.lang.Object
java.security.SecureRandom;pdebug;sun.security.util.Debug
java.security.Signature;signatureInfo;java.util.Map<java.lang.String, java.lang.Boolean>
java.security.Signature;pdebug;sun.security.util.Debug
java.io.FilePermission;DASH_PATH;java.nio.file.Path
jdk.internal.loader.BuiltinClassLoader;packageToModule;java.util.Map<java.lang.String, jdk.internal.loader.BuiltinClassLoader$LoadedModule>
java.math.BigInteger;NEGATIVE_ONE;java.math.BigInteger
java.lang.ClassValue;UNSAFE;jdk.internal.misc.Unsafe
java.util.jar.JarFile;RUNTIME_VERSION;java.lang.Runtime$Version
java.nio.charset.Charset;standardProvider;java.nio.charset.spi.CharsetProvider
java.lang.StackWalker;DEFAULT_WALKER;java.lang.StackWalker
java.time.format.DateTimeFormatter;PARSED_EXCESS_DAYS;java.time.temporal.TemporalQuery<java.time.Period>
java.net.URL;defaultFactory;java.net.URLStreamHandlerFactory
java.util.OptionalInt;EMPTY;java.util.OptionalInt
java.time.Duration;BI_NANOS_PER_SECOND;java.math.BigInteger
jdk.internal.ref.CleanerFactory;commonCleaner;java.lang.ref.Cleaner
sun.reflect.generics.tree.ShortSignature;singleton;sun.reflect.generics.tree.ShortSignature
java.io.FilePermission;here;java.nio.file.Path
java.net.URLConnection;handlers;java.util.Hashtable<java.lang.String, java.net.ContentHandler>
jdk.internal.misc.SharedSecrets;unsafe;jdk.internal.misc.Unsafe
