Owner;Name;Type;Final;Mutability;Array;Access
java.lang.Float;MIN_VALUE;float;true;immutable;false;public
sun.nio.ch.SourceChannelImpl;ST_KILLPENDING;int;true;immutable;false;private
java.nio.channels.Channels$WritableByteChannelImpl;TRANSFER_SIZE;int;true;immutable;false;private
java.util.concurrent.ConcurrentHashMap;MAXIMUM_CAPACITY;int;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_EUROPEAN_NUMBER;byte;true;immutable;false;public
java.util.Locale;DISPLAY_SCRIPT;int;true;immutable;false;private
java.io.CharConversionException;serialVersionUID;long;true;immutable;false;private
sun.net.www.http.KeepAliveCache;serialVersionUID;long;true;immutable;false;private
java.net.URI;H_URIC;long;true;immutable;false;private
java.util.Locale;UNICODE_LOCALE_EXTENSION;char;true;immutable;false;public
java.lang.invoke.LambdaFormEditor;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.invoke.MethodType;MAX_MH_INVOKER_ARITY;int;true;immutable;false;package
java.lang.Short;serialVersionUID;long;true;immutable;false;private
java.util.Collections$SynchronizedList;serialVersionUID;long;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_SEGMENT_SEPARATOR;byte;true;immutable;false;public
java.lang.StackTraceElement;BUILTIN_CLASS_LOADER;byte;true;immutable;false;private
java.util.TimerTask;EXECUTED;int;true;immutable;false;package
java.nio.HeapByteBuffer;$assertionsDisabled;boolean;true;immutable;false;package
jdk.internal.misc.Unsafe;ARRAY_OBJECT_INDEX_SCALE;int;true;immutable;false;public
sun.nio.cs.GB18030;innerEncoderIndex10;java.lang.String;true;immutable;false;private
java.util.Scanner;LINE_SEPARATOR_PATTERN;java.lang.String;true;immutable;false;private
sun.security.x509.CertException;verf_INVALID_SIG;int;true;immutable;false;public
sun.nio.cs.ISO_8859_15;b2cTable;java.lang.String;true;immutable;false;private
sun.nio.cs.GB18030;innerIndex5;java.lang.String;true;immutable;false;private
jdk.internal.misc.Unsafe;ARRAY_INT_BASE_OFFSET;int;true;immutable;false;public
java.lang.Long;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.MethodTypeForm;MH_UNINIT_CS;int;true;immutable;false;package
sun.nio.ch.SourceChannelImpl;ST_INUSE;int;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_LEFT_TO_RIGHT_EMBEDDING;byte;true;immutable;false;public
java.lang.Throwable;SELF_SUPPRESSION_MESSAGE;java.lang.String;true;immutable;false;private
java.lang.Character;MAX_VALUE;char;true;immutable;false;public
sun.security.timestamp.TSResponse$TimestampException;serialVersionUID;long;true;immutable;false;private
java.util.concurrent.FutureTask;CANCELLED;int;true;immutable;false;private
sun.nio.cs.SJIS;b2cSBStr;java.lang.String;true;immutable;false;package
java.lang.Float;SIZE;int;true;immutable;false;public
java.lang.invoke.MethodTypeForm;LF_EX_INVOKER;int;true;immutable;false;package
java.net.SocketPermission;ALL;int;true;immutable;false;private
java.lang.invoke.Invokers;NF_checkExactType;byte;true;immutable;false;private
java.net.URI;L_ALPHA;long;true;immutable;false;private
java.lang.Double;POSITIVE_INFINITY;double;true;immutable;false;public
java.util.Scanner;LINE_PATTERN;java.lang.String;true;immutable;false;private
java.util.ArrayList;DEFAULT_CAPACITY;int;true;immutable;false;private
java.lang.Exception;serialVersionUID;long;true;immutable;false;package
java.util.ResourceBundle;INITIAL_CACHE_SIZE;int;true;immutable;false;private
java.lang.invoke.DirectMethodHandle;NF_staticBase;byte;true;immutable;false;package
java.lang.NoSuchMethodError;serialVersionUID;long;true;immutable;false;private
sun.net.www.protocol.jar.Handler;separator;java.lang.String;true;immutable;false;private
sun.nio.cs.GB18030;innerEncoderIndex11;java.lang.String;true;immutable;false;private
java.util.ResourceBundle;UNKNOWN_FORMAT;java.lang.String;true;immutable;false;private
java.util.concurrent.ConcurrentHashMap;CELLSBUSY;long;true;immutable;false;private
java.nio.DirectByteBuffer;ARRAY_BASE_OFFSET;long;true;immutable;false;private
java.lang.ClassValue$ClassValueMap;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.Character;OTHER_NUMBER;byte;true;immutable;false;public
javax.crypto.CryptoPermission;ALG_NAME_WILDCARD;java.lang.String;true;immutable;false;package
sun.nio.ch.SinkChannelImpl;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.invoke.DirectMethodHandle;FT_CHECKED_REF;int;true;immutable;false;package
java.lang.invoke.DirectMethodHandle;AF_LIMIT;byte;true;immutable;false;package
java.net.SocketPermissionCollection;serialVersionUID;long;true;immutable;false;private
java.lang.Character;CURRENCY_SYMBOL;byte;true;immutable;false;public
java.lang.NoSuchMethodException;serialVersionUID;long;true;immutable;false;private
sun.nio.cs.GB18030;innerEncoderIndex6;java.lang.String;true;immutable;false;private
java.util.Locale;DISPLAY_UEXT_TYPE;int;true;immutable;false;private
java.net.URI;H_SCOPE_ID;long;true;immutable;false;private
java.lang.invoke.MethodTypeForm;LONGS;int;true;immutable;false;package
java.lang.Character;BYTES;int;true;immutable;false;public
java.lang.Short;MAX_VALUE;short;true;immutable;false;public
java.lang.invoke.MethodTypeForm;LF_NEWINVSPECIAL;int;true;immutable;false;package
java.lang.invoke.MethodTypeForm;LF_INVVIRTUAL;int;true;immutable;false;package
java.lang.Character;DIRECTIONALITY_ARABIC_NUMBER;byte;true;immutable;false;public
java.util.Collections$SynchronizedMap;serialVersionUID;long;true;immutable;false;private
java.util.MissingFormatArgumentException;serialVersionUID;long;true;immutable;false;private
java.lang.String;LATIN1;byte;true;immutable;false;package
java.net.URI;L_PATH;long;true;immutable;false;private
java.util.zip.ZipOutputStream;inhibitZip64;boolean;true;immutable;false;private
com.sun.java.util.jar.pack.DriverResource_ja;MORE_INFO;java.lang.String;true;immutable;false;public
java.net.URI;H_LOWALPHA;long;true;immutable;false;private
java.net.URL;BUILTIN_HANDLERS_PREFIX;java.lang.String;true;immutable;false;package
java.lang.invoke.MemberName;ALL_ACCESS;int;true;immutable;false;package
sun.security.x509.CertException;verf_INVALID_NOTBEFORE;int;true;immutable;false;public
java.io.ObjectInputStream$BlockDataInputStream;CHAR_BUF_SIZE;int;true;immutable;false;private
java.net.URI;H_REG_NAME;long;true;immutable;false;private
java.util.IllegalFormatException;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.BoundMethodHandle;FORM_EXPRESSION_THRESHOLD;int;true;immutable;false;private
sun.nio.cs.MS1254;b2cTable;java.lang.String;true;immutable;false;private
java.io.Console;$assertionsDisabled;boolean;true;immutable;false;package
java.util.concurrent.ConcurrentHashMap;CELLVALUE;long;true;immutable;false;private
java.net.SocketPermission;CONNECT;int;true;immutable;false;private
java.nio.DirectCharBufferS;ARRAY_BASE_OFFSET;long;true;immutable;false;private
java.lang.invoke.MethodTypeForm;ERASE;int;true;immutable;false;package
sun.nio.ch.DatagramChannelImpl;$assertionsDisabled;boolean;true;immutable;false;package
java.util.concurrent.ConcurrentHashMap;TRANSFERINDEX;long;true;immutable;false;private
javax.crypto.CryptoAllPermission;ALG_NAME;java.lang.String;true;immutable;false;package
java.lang.OutOfMemoryError;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.MemberName;CONSTRUCTOR_NAME;java.lang.String;true;immutable;false;package
java.lang.invoke.MemberName;$assertionsDisabled;boolean;true;immutable;false;package
java.util.concurrent.ConcurrentHashMap;LOAD_FACTOR;float;true;immutable;false;private
sun.net.www.http.KeepAliveStreamCleaner;MAX_RETRIES;int;true;immutable;false;private
java.lang.invoke.DirectMethodHandle;AF_PUTSTATIC;byte;true;immutable;false;package
java.lang.Double;serialVersionUID;long;true;immutable;false;private
java.lang.VirtualMachineError;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.LambdaForm;TRACE_INTERPRETER;boolean;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_POP_DIRECTIONAL_ISOLATE;byte;true;immutable;false;public
java.lang.Module;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.Thread;MAX_PRIORITY;int;true;immutable;false;public
java.lang.TypeNotPresentException;serialVersionUID;long;true;immutable;false;private
java.net.InetAddress;preferIPv6Address;int;true;immutable;false;package
java.util.Vector;MAX_ARRAY_SIZE;int;true;immutable;false;private
sun.nio.cs.GB18030;innerIndex1;java.lang.String;true;immutable;false;private
java.net.URI;L_DASH;long;true;immutable;false;private
java.net.URL;protocolPathProp;java.lang.String;true;immutable;false;private
java.nio.DirectCharBufferU;ARRAY_BASE_OFFSET;long;true;immutable;false;private
java.util.Collections$SingletonList;serialVersionUID;long;true;immutable;false;private
java.net.SocketPermission;DEF_EPH_LOW;int;true;immutable;false;private
java.net.URISyntaxException;serialVersionUID;long;true;immutable;false;private
java.util.concurrent.ArrayBlockingQueue$Itr;REMOVED;int;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_RIGHT_TO_LEFT;byte;true;immutable;false;public
java.util.concurrent.ConcurrentHashMap;ABASE;int;true;immutable;false;private
java.io.ObjectOutputStream;extendedDebugInfo;boolean;true;immutable;false;private
java.lang.Throwable;$assertionsDisabled;boolean;true;immutable;false;package
sun.nio.cs.GB18030;GB18030_DOUBLE_BYTE;int;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_RIGHT_TO_LEFT_ARABIC;byte;true;immutable;false;public
java.io.ObjectInputStream$BlockDataInputStream;MAX_HEADER_SIZE;int;true;immutable;false;private
java.lang.invoke.MethodTypeForm;LF_LIMIT;int;true;immutable;false;package
java.lang.String;COMPACT_STRINGS;boolean;true;immutable;false;package
java.lang.Character;SURROGATE;byte;true;immutable;false;public
java.util.IllegalFormatPrecisionException;serialVersionUID;long;true;immutable;false;private
sun.nio.cs.Big5;b2cSBStr;java.lang.String;true;immutable;false;package
java.net.SocketPermission;PORT_MAX;int;true;immutable;false;private
java.lang.invoke.MemberName;IS_FIELD;int;true;immutable;false;package
java.lang.invoke.Invokers;NF_checkVarHandleExactType;byte;true;immutable;false;private
sun.nio.cs.JIS_X_0208_Solaris;b2cSBStr;java.lang.String;true;immutable;false;package
sun.security.x509.CertException;verf_PARSE_ERROR;int;true;immutable;false;public
jdk.internal.misc.Unsafe;ADDRESS_SIZE;int;true;immutable;false;public
java.lang.invoke.DirectMethodHandle;NF_checkCast;byte;true;immutable;false;package
java.io.Reader;TRANSFER_BUFFER_SIZE;int;true;immutable;false;private
java.nio.ByteBufferAsCharBufferL;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.invoke.MemberName;VARARGS;int;true;immutable;false;package
java.util.concurrent.ConcurrentHashMap;MIN_TRANSFER_STRIDE;int;true;immutable;false;private
java.io.InputStream;MAX_BUFFER_SIZE;int;true;immutable;false;private
java.lang.ClassValue$ClassValueMap;PROBE_LIMIT;int;true;immutable;false;private
java.lang.invoke.MemberName;RECOGNIZED_MODIFIERS;int;true;immutable;false;package
java.lang.Float;MIN_EXPONENT;int;true;immutable;false;public
java.util.Hashtable;MAX_ARRAY_SIZE;int;true;immutable;false;private
java.lang.LiveStackFrameInfo;MODE_INTERPRETED;int;true;immutable;false;private
java.lang.IllegalAccessException;serialVersionUID;long;true;immutable;false;private
java.lang.Character;DASH_PUNCTUATION;byte;true;immutable;false;public
java.net.URLConnection;contentClassPrefix;java.lang.String;true;immutable;false;private
java.io.ObjectInputStream$BlockDataInputStream;HEADER_BLOCKED;int;true;immutable;false;private
java.lang.Character;MIN_RADIX;int;true;immutable;false;public
java.util.Collections$UnmodifiableCollection;serialVersionUID;long;true;immutable;false;private
sun.security.x509.CertException;serialVersionUID;long;true;immutable;false;private
java.net.InetAddress;PREFER_IPV4_VALUE;int;true;immutable;false;package
java.lang.Character;DIRECTIONALITY_NONSPACING_MARK;byte;true;immutable;false;public
java.util.concurrent.FutureTask;NORMAL;int;true;immutable;false;private
javax.crypto.CryptoAllPermission;serialVersionUID;long;true;immutable;false;private
java.lang.Integer;MIN_VALUE;int;true;immutable;false;public
java.security.Provider;ALIAS_PREFIX;java.lang.String;true;immutable;false;private
java.net.URI;L_PCHAR;long;true;immutable;false;private
sun.nio.cs.JIS_X_0208;b2cSBStr;java.lang.String;true;immutable;false;package
java.io.ObjectInputStream$BlockDataInputStream;MAX_BLOCK_SIZE;int;true;immutable;false;private
jdk.internal.module.Modules;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.Float;NEGATIVE_INFINITY;float;true;immutable;false;public
java.lang.Character;UPPERCASE_LETTER;byte;true;immutable;false;public
com.sun.java.util.jar.pack.DriverResource_ja;DETECTED_ZIP_COMMENT;java.lang.String;true;immutable;false;public
java.lang.invoke.LambdaForm$BasicType;TYPE_LIMIT;int;true;immutable;false;package
java.util.Locale;DISPLAY_LANGUAGE;int;true;immutable;false;private
java.nio.DirectByteBuffer;$assertionsDisabled;boolean;true;immutable;false;package
sun.security.x509.CertException;verf_INVALID_REVOKED;int;true;immutable;false;public
java.lang.ReflectiveOperationException;serialVersionUID;long;true;immutable;false;package
java.nio.HeapCharBuffer;ARRAY_BASE_OFFSET;long;true;immutable;false;private
java.net.URI;H_UPALPHA;long;true;immutable;false;private
com.sun.java.util.jar.pack.DriverResource_ja;BAD_REPACK_OUTPUT;java.lang.String;true;immutable;false;public
java.lang.invoke.VarHandle;VFORM_OFFSET;long;true;immutable;false;private
java.lang.IllegalArgumentException;serialVersionUID;long;true;immutable;false;private
sun.nio.cs.GB18030;innerIndex4;java.lang.String;true;immutable;false;private
java.net.URI;serialVersionUID;long;true;immutable;false;package
java.lang.invoke.MemberName$Factory;$assertionsDisabled;boolean;true;immutable;false;package
java.net.URI;L_DOT;long;true;immutable;false;private
java.util.concurrent.ArrayBlockingQueue$Itr;NONE;int;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_LEFT_TO_RIGHT_OVERRIDE;byte;true;immutable;false;public
java.util.zip.GZIPOutputStream;GZIP_MAGIC;int;true;immutable;false;private
java.lang.Throwable;serialVersionUID;long;true;immutable;false;private
java.net.URI;H_HEX;long;true;immutable;false;private
java.lang.invoke.BoundMethodHandle;FIELD_COUNT_THRESHOLD;int;true;immutable;false;private
java.nio.DirectByteBuffer$Deallocator;$assertionsDisabled;boolean;true;immutable;false;private
