Owner;Name;Type;Final;Mutability;Array;Access
java.lang.invoke.LambdaForm;NF_identity;java.lang.invoke.LambdaForm$NamedFunction[];true;mutable;true;private
sun.nio.cs.ISO_8859_13;b2c;char[];true;mutable;true;private
java.util.ArrayList;DEFAULTCAPACITY_EMPTY_ELEMENTDATA;java.lang.Object[];true;mutable;true;private
sun.security.ssl.SunX509KeyManagerImpl;STRING0;java.lang.String[];true;mutable;true;private
java.net.URL;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.nio.cs.ISO_8859_16;b2c;char[];true;mutable;true;private
java.lang.invoke.DirectMethodHandle;ALL_WRAPPERS;sun.invoke.util.Wrapper[];true;mutable;true;private
sun.security.ssl.CertStatusExtension$CertStatusRequestType;$VALUES;sun.security.ssl.CertStatusExtension$CertStatusRequestType[];true;mutable;true;private
sun.nio.cs.StandardCharsets;aliases_SJIS;java.lang.String[];false;mutable;true;package
java.time.zone.ZoneRules;EMPTY_LASTRULES;java.time.zone.ZoneOffsetTransitionRule[];true;mutable;true;private
java.nio.charset.CharsetEncoder;stateNames;java.lang.String[];false;mutable;true;private
sun.nio.cs.StandardCharsets;aliases_MS932;java.lang.String[];false;mutable;true;package
java.util.jar.JarFile;MULTIRELEASE_LASTOCC;byte[];true;mutable;true;private
java.lang.Class;EMPTY_CLASS_ARRAY;java.lang.Class<?>[];true;mutable;true;private
com.sun.java.util.jar.pack.BandStructure;defaultMetaCoding;byte[];true;mutable;true;package
sun.nio.cs.KOI8_R;b2c;char[];true;mutable;true;private
sun.nio.cs.IBM874;c2bIndex;char[];true;mutable;true;private
sun.security.x509.NetscapeCertTypeExtension;CertType_data;int[];true;mutable;true;private
java.net.HttpCookie;COOKIE_DATE_FORMATS;java.lang.String[];true;mutable;true;private
sun.security.x509.X500Name;ipAddress_data;int[];true;mutable;true;private
java.lang.Integer;DigitOnes;byte[];true;mutable;true;package
sun.nio.cs.MS1256;c2b;char[];true;mutable;true;private
java.net.InetAddress;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.net.www.protocol.http.HttpURLConnection;restrictedHeaders;java.lang.String[];true;mutable;true;private
java.text.MessageFormat;DATE_TIME_MODIFIERS;int[];true;mutable;true;private
sun.security.x509.AlgorithmId;md2WithRSAEncryption_data;int[];true;mutable;true;private
sun.nio.cs.KOI8_R;c2b;char[];true;mutable;true;private
java.lang.invoke.VarHandle$AccessMode;$VALUES;java.lang.invoke.VarHandle$AccessMode[];true;mutable;true;private
sun.util.logging.PlatformLogger$Level;LEVEL_VALUES;int[];true;mutable;true;private
sun.nio.cs.MS1250;b2c;char[];true;mutable;true;private
sun.security.x509.ExtendedKeyUsageExtension;emailProtectionOidData;int[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_10_12;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.math.BigInteger;digitsPerLong;int[];false;mutable;true;private
sun.nio.cs.MS1254;b2c;char[];true;mutable;true;private
sun.security.ssl.CipherSuite$KeyExchange;$VALUES;sun.security.ssl.CipherSuite$KeyExchange[];true;mutable;true;private
java.lang.invoke.LambdaForm;LF_zero;java.lang.invoke.LambdaForm[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_10_11;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.net.URI;hexDigits;char[];true;mutable;true;private
jdk.internal.org.objectweb.asm.ClassWriter;TYPE;byte[];true;mutable;true;package
sun.security.ssl.ProtocolVersion;PROTOCOLS_TO_11;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.math.BigInteger;powerCache;java.math.BigInteger[][];false;mutable;true;private
sun.invoke.util.Wrapper;FROM_PRIM;sun.invoke.util.Wrapper[];true;mutable;true;private
sun.nio.cs.ISO_8859_5;b2c;char[];true;mutable;true;private
java.lang.StackWalker$Option;$VALUES;java.lang.StackWalker$Option[];true;mutable;true;private
java.lang.invoke.LambdaForm;LF_identity;java.lang.invoke.LambdaForm[];true;mutable;true;private
sun.security.x509.X500Name;DNQUALIFIER_DATA;int[];true;mutable;true;private
java.math.BigDecimal;LONGLONG_TEN_POWERS_TABLE;long[][];true;mutable;true;private
java.util.jar.JarFile;MULTIRELEASE_OPTOSFT;byte[];true;mutable;true;private
java.lang.LiveStackFrameInfo;EMPTY_ARRAY;java.lang.Object[];false;mutable;true;private
java.math.BigInteger;intRadix;int[];false;mutable;true;private
sun.security.ssl.CipherSuite$HashAlg;$VALUES;sun.security.ssl.CipherSuite$HashAlg[];true;mutable;true;private
sun.net.www.http.ChunkedOutputStream;CRLF;byte[];true;mutable;true;private
sun.security.x509.AlgorithmId;RSA_data;int[];true;mutable;true;private
sun.security.x509.AlgorithmId;sha1WithDSA_OIW_data;int[];true;mutable;true;private
java.util.concurrent.ForkJoinTask;exceptionTable;java.util.concurrent.ForkJoinTask$ExceptionNode[];true;mutable;true;private
sun.nio.cs.ISO_8859_16;c2bIndex;char[];true;mutable;true;private
sun.security.ssl.TransportContext;emptyByteArray;byte[];true;mutable;true;private
java.time.temporal.ChronoUnit;$VALUES;java.time.temporal.ChronoUnit[];true;mutable;true;private
sun.nio.cs.IBM737;c2bIndex;char[];true;mutable;true;private
java.math.BigDecimal;ZERO_SCALED_BY;java.math.BigDecimal[];true;mutable;true;private
sun.net.spi.DefaultProxySelector;props;java.lang.String[][];true;mutable;true;package
java.lang.StackStreamFactory$WalkerState;$VALUES;java.lang.StackStreamFactory$WalkerState[];true;mutable;true;private
java.text.SimpleDateFormat;REST_OF_STYLES;int[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_TO_TLS11;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.math.BigInteger;posConst;java.math.BigInteger[];false;mutable;true;private
sun.nio.cs.IBM775;c2bIndex;char[];true;mutable;true;private
java.util.Locale$IsoCountryCode;$VALUES;java.util.Locale$IsoCountryCode[];true;mutable;true;private
sun.security.x509.AlgorithmId;DH_data;int[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_12_13;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
sun.net.ProgressSource$State;$VALUES;sun.net.ProgressSource$State[];true;mutable;true;private
sun.security.ssl.RandomCookie;t12Protection;byte[];true;mutable;true;private
sun.nio.cs.MS1257;c2b;char[];true;mutable;true;private
sun.security.x509.AlgorithmId;sha1WithRSAEncryption_OIW_data;int[];true;mutable;true;private
java.security.UnresolvedPermission;PARAMS0;java.lang.Class<?>[];true;mutable;true;private
java.math.BigInteger;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.security.ssl.ClientAuthType;$VALUES;sun.security.ssl.ClientAuthType[];true;mutable;true;private
jdk.internal.org.objectweb.asm.Frame;SIZE;int[];true;mutable;true;package
sun.security.ssl.OutputRecord;HANDSHAKE_MESSAGE_KEY_UPDATE;byte[];true;mutable;true;private
sun.security.util.BitArray;NYBBLE;byte[][];true;mutable;true;private
java.math.BigInteger;longRadix;java.math.BigInteger[];false;mutable;true;private
java.util.Calendar;FIELD_NAME;java.lang.String[];true;mutable;true;private
java.time.zone.ZoneRules;EMPTY_LDT_ARRAY;java.time.LocalDateTime[];true;mutable;true;private
java.net.InetSocketAddress;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_OF_11;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
sun.security.x509.X500Name;stateName_data;int[];true;mutable;true;private
sun.security.x509.AlgorithmId;sha384WithRSAEncryption_data;int[];true;mutable;true;private
java.time.format.ResolverStyle;$VALUES;java.time.format.ResolverStyle[];true;mutable;true;private
java.lang.module.ModuleDescriptor$Exports$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Exports$Modifier[];true;mutable;true;private
java.util.jar.JarFile;CLASSPATH_LASTOCC;byte[];true;mutable;true;private
sun.security.ssl.SSLExtension;$VALUES;sun.security.ssl.SSLExtension[];true;mutable;true;private
sun.security.ssl.RandomCookie;hrrRandomBytes;byte[];true;mutable;true;private
sun.nio.cs.GBK;b2cStr;java.lang.String[];true;mutable;true;package
sun.nio.cs.IBM874;c2b;char[];true;mutable;true;private
sun.net.ftp.FtpDirEntry$Permission;$VALUES;sun.net.ftp.FtpDirEntry$Permission[];true;mutable;true;private
java.net.Inet6Address;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.nio.cs.MS1257;b2c;char[];true;mutable;true;private
java.lang.ClassLoader;nocerts;java.security.cert.Certificate[];true;mutable;true;private
java.io.ObjectStreamClass;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.security.ssl.SignatureScheme;hashAlgorithms;java.lang.String[];true;mutable;true;private
sun.security.x509.AlgorithmId;sha256WithRSAEncryption_data;int[];true;mutable;true;private
sun.net.ftp.FtpClient$TransferType;$VALUES;sun.net.ftp.FtpClient$TransferType[];true;mutable;true;private
com.sun.java.util.jar.pack.Fixups;noBigDescs;int[];true;mutable;true;private
sun.net.www.protocol.http.HttpURLConnection;EXCLUDE_HEADERS;java.lang.String[];true;mutable;true;private
java.net.HttpURLConnection;methods;java.lang.String[];true;mutable;true;private
sun.security.ssl.OutputRecord;V3toV2CipherMap1;int[];true;mutable;true;private
sun.nio.cs.MS1250;c2bIndex;char[];true;mutable;true;private
sun.nio.cs.IBM775;c2b;char[];true;mutable;true;private
sun.net.ftp.impl.FtpClient;MDTMformats;java.lang.String[];false;mutable;true;private
java.lang.invoke.DirectMethodHandle;NFS;java.lang.invoke.LambdaForm$NamedFunction[];true;mutable;true;private
java.math.BigInteger;bnExpModThreshTable;int[];false;mutable;true;package
java.lang.Throwable;EMPTY_THROWABLE_ARRAY;java.lang.Throwable[];true;mutable;true;private
sun.nio.cs.MS1258;c2bIndex;char[];true;mutable;true;private
sun.util.logging.PlatformLogger$Level;$VALUES;sun.util.logging.PlatformLogger$Level[];true;mutable;true;private
java.security.cert.CRLReason;$VALUES;java.security.cert.CRLReason[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_TO_12;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
javax.security.auth.Subject$SecureSet;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.nio.cs.ISO_8859_16;c2b;char[];true;mutable;true;private
sun.nio.cs.MS1256;b2c;char[];true;mutable;true;private
java.math.BigInteger;bitsPerDigit;long[];false;mutable;true;private
sun.nio.cs.ISO_8859_7;c2b;char[];true;mutable;true;private
java.math.BigInteger;zeros;java.lang.String[];false;mutable;true;private
java.math.BigInteger;logCache;double[];true;mutable;true;private
sun.net.ftp.FtpReplyCode;$VALUES;sun.net.ftp.FtpReplyCode[];true;mutable;true;private
sun.nio.cs.IBM737;b2c;char[];true;mutable;true;private
java.lang.invoke.TypeConvertingMethodAdapter;FROM_WRAPPER_NAME;sun.invoke.util.Wrapper[];true;mutable;true;private
sun.nio.cs.MS932;c2b;char[];false;mutable;true;package
sun.security.x509.AlgorithmId;DSA_OIW_data;int[];true;mutable;true;private
sun.nio.cs.ISO_8859_4;b2c;char[];true;mutable;true;private
com.sun.java.util.jar.pack.BandStructure;basicCodings;com.sun.java.util.jar.pack.Coding[];true;mutable;true;private
sun.security.x509.ExtendedKeyUsageExtension;ipsecEndSystemOidData;int[];true;mutable;true;private
com.sun.java.util.jar.pack.Coding;byteBitWidths;byte[];true;mutable;true;private
sun.nio.cs.ISO_8859_13;c2bIndex;char[];true;mutable;true;private
sun.security.ssl.CipherSuite$MacAlg;$VALUES;sun.security.ssl.CipherSuite$MacAlg[];true;mutable;true;private
java.nio.charset.Charset;cache1;java.lang.Object[];false;mutable;true;private
java.lang.invoke.MethodType;NO_PTYPES;java.lang.Class<?>[];true;mutable;true;package
sun.nio.cs.IBM737;c2b;char[];true;mutable;true;private
java.text.MessageFormat;DATE_TIME_MODIFIER_KEYWORDS;java.lang.String[];true;mutable;true;private
sun.nio.cs.ISO_8859_4;c2b;char[];true;mutable;true;private
java.util.Random;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.nio.cs.MS932;b2c;char[][];false;mutable;true;package
sun.nio.cs.Johab;b2cSB;char[];false;mutable;true;package
sun.security.ssl.ProtocolVersion;PROTOCOLS_OF_30;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
javax.security.auth.PrivateCredentialPermission;EMPTY_PRINCIPALS;javax.security.auth.PrivateCredentialPermission$CredOwner[];true;mutable;true;private
java.util.BitSet;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.util.logging.PlatformLogger;spi2platformLevelMapping;sun.util.logging.PlatformLogger$Level[];true;mutable;true;private
sun.net.ftp.impl.FtpClient;patterns;java.util.regex.Pattern[];false;mutable;true;private
java.util.stream.StreamShape;$VALUES;java.util.stream.StreamShape[];true;mutable;true;private
java.net.StandardProtocolFamily;$VALUES;java.net.StandardProtocolFamily[];true;mutable;true;private
sun.security.x509.X500Name;SURNAME_DATA;int[];true;mutable;true;private
sun.security.x509.AlgorithmId;sha224WithRSAEncryption_data;int[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_TO_TLS10;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.time.chrono.MinguoEra;$VALUES;java.time.chrono.MinguoEra[];true;mutable;true;private
sun.net.ftp.impl.FtpClient;patternGroups;int[][];false;mutable;true;private
java.security.CryptoPrimitive;$VALUES;java.security.CryptoPrimitive[];true;mutable;true;private
java.lang.AbstractStringBuilder;EMPTYVALUE;byte[];true;mutable;true;private
sun.security.ssl.SupportedGroupsExtension$NamedGroup;$VALUES;sun.security.ssl.SupportedGroupsExtension$NamedGroup[];true;mutable;true;private
java.text.DateFormat$Field;calendarToFieldMapping;java.text.DateFormat$Field[];true;mutable;true;private
javax.net.ssl.SNIServerName;HEXES;char[];true;mutable;true;private
sun.net.www.http.ChunkedOutputStream;FOOTER;byte[];true;mutable;true;private
java.lang.invoke.MethodHandleImpl$Intrinsic;$VALUES;java.lang.invoke.MethodHandleImpl$Intrinsic[];true;mutable;true;private
java.lang.module.ModuleDescriptor$Requires$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Requires$Modifier[];true;mutable;true;private
java.security.Provider$Service;CLASS0;java.lang.Class<?>[];true;mutable;true;private
java.security.UnresolvedPermissionCollection;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.nio.cs.Johab;c2b;char[];false;mutable;true;package
sun.invoke.util.Wrapper;$VALUES;sun.invoke.util.Wrapper[];true;mutable;true;private
java.text.DecimalFormat;EmptyFieldPositionArray;java.text.FieldPosition[];false;mutable;true;private
java.lang.SecurityManager;packageDefinition;java.lang.String[];false;mutable;true;private
java.nio.charset.CoderResult;unmappable4;java.nio.charset.CoderResult[];true;mutable;true;private
sun.net.ftp.FtpDirEntry$Type;$VALUES;sun.net.ftp.FtpDirEntry$Type[];true;mutable;true;private
java.time.chrono.HijrahEra;$VALUES;java.time.chrono.HijrahEra[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_OF_13;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.time.format.TextStyle;$VALUES;java.time.format.TextStyle[];true;mutable;true;private
sun.security.x509.ExtendedKeyUsageExtension;ipsecUserOidData;int[];true;mutable;true;private
jdk.internal.org.objectweb.asm.util.Printer;OPCODES;java.lang.String[];true;mutable;true;public
sun.security.provider.certpath.OCSPResponse$ResponseStatus;$VALUES;sun.security.provider.certpath.OCSPResponse$ResponseStatus[];true;mutable;true;private
com.sun.java.util.jar.pack.PopulationCoding;LValuesCoded;int[];true;mutable;true;package
sun.security.x509.AlgorithmId;DSA_PKIX_data;int[];true;mutable;true;private
sun.security.x509.X500Name;orgUnitName_data;int[];true;mutable;true;private
java.text.SimpleDateFormat;PATTERN_INDEX_TO_CALENDAR_FIELD;int[];true;mutable;true;private
sun.security.x509.ExtendedKeyUsageExtension;ipsecTunnelOidData;int[];true;mutable;true;private
java.util.Locale;isoLanguages;java.lang.String[];false;mutable;true;private
sun.security.ssl.ProtocolVersion;$VALUES;sun.security.ssl.ProtocolVersion[];true;mutable;true;private
sun.nio.cs.MS932;b2cStr;java.lang.String[];true;mutable;true;package
sun.nio.cs.ISO_8859_7;b2c;char[];true;mutable;true;private
sun.security.x509.ExtendedKeyUsageExtension;clientAuthOidData;int[];true;mutable;true;private
java.lang.Integer;sizeTable;int[];true;mutable;true;package
sun.security.ssl.ProtocolVersion;PROTOCOLS_EMPTY;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.lang.invoke.MethodType;METHOD_HANDLE_ARRAY;java.lang.Class<?>[];true;mutable;true;private
java.util.concurrent.TimeUnit;$VALUES;java.util.concurrent.TimeUnit[];true;mutable;true;private
