Owner;Name;Type;Final;Mutability;Array;Access
jdk.internal.misc.SharedSecrets;javaBeansAccess;jdk.internal.misc.JavaBeansAccess;false;unknown;false;private
jdk.internal.reflect.ReflectionFactory;noInflation;boolean;false;immutable;false;private
java.lang.ref.Finalizer;queue;java.lang.ref.ReferenceQueue<java.lang.Object>;false;unknown;false;private
java.net.InetAddress;nameService;java.net.InetAddress$NameService;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaSecuritySignatureAccess;jdk.internal.misc.JavaSecuritySignatureAccess;false;unknown;false;private
java.nio.file.spi.FileSystemProvider;installedProviders;java.util.List<java.nio.file.spi.FileSystemProvider>;false;unknown;false;private
java.net.Socket;factory;java.net.SocketImplFactory;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaIORandomAccessFileAccess;jdk.internal.misc.JavaIORandomAccessFileAccess;false;unknown;false;private
java.lang.ref.Reference;processPendingActive;boolean;false;immutable;false;private
jdk.internal.misc.SharedSecrets;javaIOFilePermissionAccess;jdk.internal.misc.JavaIOFilePermissionAccess;false;unknown;false;private
java.security.AccessControlContext;debug;sun.security.util.Debug;false;unknown;false;private
jdk.internal.reflect.ReflectionFactory;inflationThreshold;int;false;immutable;false;private
jdk.internal.misc.SharedSecrets;javaNetInetAddressAccess;jdk.internal.misc.JavaNetInetAddressAccess;false;unknown;false;private
javax.crypto.Cipher;warnCount;int;false;immutable;false;private
jdk.internal.misc.SharedSecrets;javaNetURLClassLoaderAccess;jdk.internal.misc.JavaNetURLClassLoaderAccess;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaObjectInputFilterAccess;jdk.internal.misc.JavaObjectInputFilterAccess;false;unknown;false;private
java.nio.file.spi.FileSystemProvider;loadingProviders;boolean;false;immutable;false;private
jdk.internal.misc.SharedSecrets;javaLangAccess;jdk.internal.misc.JavaLangAccess;false;unknown;false;private
jdk.internal.ref.Cleaner;first;jdk.internal.ref.Cleaner;false;unknown;false;private
java.nio.MappedByteBuffer;unused;byte;false;immutable;false;private
java.lang.invoke.CallSite;THROW_UCS;java.lang.invoke.MethodHandle;false;unknown;false;private
java.lang.invoke.LambdaForm;LF_FAILED;jdk.internal.perf.PerfCounter;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaNioAccess;jdk.internal.misc.JavaNioAccess;false;unknown;false;private
java.lang.invoke.CallSite;TARGET_OFFSET;long;false;immutable;false;private
java.lang.ref.Finalizer;unfinalized;java.lang.ref.Finalizer;false;unknown;false;private
java.net.ServerSocket;options;java.util.Set<java.net.SocketOption<?>>;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaNetHttpCookieAccess;jdk.internal.misc.JavaNetHttpCookieAccess;false;unknown;false;private
