Owner;Name;Type
jdk.internal.misc.Unsafe;ARRAY_BYTE_BASE_OFFSET;int
java.io.ObjectInputFilter$Status;REJECTED;java.io.ObjectInputFilter$Status
java.lang.System$Logger$Level;ALL;java.lang.System$Logger$Level
java.lang.OutOfMemoryError;serialVersionUID;long
java.util.Hashtable;VALUES;int
java.lang.invoke.VarHandle$AccessMode;GET_AND_BITWISE_OR;java.lang.invoke.VarHandle$AccessMode
java.lang.invoke.VarHandle$AccessMode;GET_AND_BITWISE_XOR;java.lang.invoke.VarHandle$AccessMode
java.net.URI;L_PCHAR;long
java.util.concurrent.ConcurrentHashMap;SIZECTL;long
java.net.URI;H_SERVER_PERCENT;long
java.net.URI;H_URIC;long
java.lang.invoke.LambdaForm$Kind;EXACT_INVOKER;java.lang.invoke.LambdaForm$Kind
java.util.Locale$FilteringMode;REJECT_EXTENDED_RANGES;java.util.Locale$FilteringMode
java.lang.Character;MAX_RADIX;int
java.lang.Character;DIRECTIONALITY_SEGMENT_SEPARATOR;byte
java.lang.invoke.LambdaForm$Kind;DIRECT_INVOKE_VIRTUAL;java.lang.invoke.LambdaForm$Kind
java.lang.System$Logger$Level;WARNING;java.lang.System$Logger$Level
java.time.chrono.IsoChronology;serialVersionUID;long
java.lang.Character;DIRECTIONALITY_RIGHT_TO_LEFT_EMBEDDING;byte
java.lang.Short;BYTES;int
java.lang.Character;CONNECTOR_PUNCTUATION;byte
java.net.NetworkInterface;defaultIndex;int
java.util.concurrent.TimeoutException;serialVersionUID;long
java.lang.invoke.LambdaForm$Kind;COLLECT;java.lang.invoke.LambdaForm$Kind
java.time.zone.ZoneOffsetTransitionRule$TimeDefinition;STANDARD;java.time.zone.ZoneOffsetTransitionRule$TimeDefinition
java.net.URI;H_LOWALPHA;long
javax.crypto.Cipher;S_NO;int
java.lang.invoke.LambdaForm$Kind;PUT_OBJECT;java.lang.invoke.LambdaForm$Kind
java.util.Locale$IsoCountryCode;PART1_ALPHA3;java.util.Locale$IsoCountryCode
java.net.Proxy$Type;DIRECT;java.net.Proxy$Type
java.lang.Thread$State;NEW;java.lang.Thread$State
javax.crypto.NoSuchPaddingException;serialVersionUID;long
java.lang.UnsupportedOperationException;serialVersionUID;long
java.net.URI;H_REG_NAME;long
java.math.BigInteger;BURNIKEL_ZIEGLER_THRESHOLD;int
jdk.internal.reflect.ConstantPool$Tag;METHODHANDLE;jdk.internal.reflect.ConstantPool$Tag
jdk.internal.misc.Unsafe;ARRAY_FLOAT_INDEX_SCALE;int
java.net.URI;L_HEX;long
java.lang.invoke.LambdaForm$Kind;PUT_FLOAT_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.Invokers;NF_LIMIT;byte
java.lang.invoke.MethodHandle;FORM_OFFSET;long
java.lang.invoke.LambdaForm$Kind;GET_INT;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.VarHandle$AccessMode;WEAK_COMPARE_AND_SET;java.lang.invoke.VarHandle$AccessMode
java.net.Proxy$Type;SOCKS;java.net.Proxy$Type
java.lang.LiveStackFrameInfo;MODE_INTERPRETED;int
java.time.temporal.ChronoField;YEAR_OF_ERA;java.time.temporal.ChronoField
java.nio.charset.CharsetEncoder;$assertionsDisabled;boolean
java.net.URI;L_ALPHA;long
java.util.Date;serialVersionUID;long
jdk.internal.reflect.ReflectionFactory;$assertionsDisabled;boolean
java.util.Random;BadBound;java.lang.String
java.lang.invoke.VarHandle$AccessMode;COMPARE_AND_EXCHANGE_RELEASE;java.lang.invoke.VarHandle$AccessMode
java.lang.Character;DIRECTIONALITY_NONSPACING_MARK;byte
