Owner;Name;Type;Final;Mutability;Array;Access
java.lang.invoke.LambdaForm$Kind;$VALUES;java.lang.invoke.LambdaForm$Kind[];true;unknown;true;private
java.lang.invoke.VarHandle$AccessMode;$VALUES;java.lang.invoke.VarHandle$AccessMode[];true;unknown;true;private
java.lang.invoke.LambdaForm;NF_identity;java.lang.invoke.LambdaForm$NamedFunction[];true;unknown;true;private
java.nio.charset.CoderResult;unmappable4;java.nio.charset.CoderResult[];true;unknown;true;private
java.lang.invoke.DirectMethodHandle;ACCESSOR_FORMS;java.lang.invoke.LambdaForm[];true;unknown;true;private
java.nio.channels.AsynchronousFileChannel;NO_ATTRIBUTES;java.nio.file.attribute.FileAttribute<?>[];true;unknown;true;private
java.util.concurrent.TimeUnit;$VALUES;java.util.concurrent.TimeUnit[];true;unknown;true;private
java.lang.invoke.DirectMethodHandle;NFS;java.lang.invoke.LambdaForm$NamedFunction[];true;unknown;true;private
java.net.URL;serialPersistentFields;java.io.ObjectStreamField[];true;unknown;true;private
java.time.temporal.ChronoUnit;$VALUES;java.time.temporal.ChronoUnit[];true;unknown;true;private
java.io.ObjectInputFilter$Status;$VALUES;java.io.ObjectInputFilter$Status[];true;unknown;true;private
java.math.BigInteger;powerCache;java.math.BigInteger[][];false;unknown;true;private
java.lang.invoke.LambdaForm$BasicType;ARG_TYPES;java.lang.invoke.LambdaForm$BasicType[];true;unknown;true;package
sun.invoke.util.Wrapper;FROM_CHAR;sun.invoke.util.Wrapper[];true;unknown;true;private
java.util.stream.Collector$Characteristics;$VALUES;java.util.stream.Collector$Characteristics[];true;unknown;true;private
java.math.BigInteger;posConst;java.math.BigInteger[];false;unknown;true;private
java.lang.Throwable;UNASSIGNED_STACK;java.lang.StackTraceElement[];true;unknown;true;private
java.io.ObjectStreamClass;serialPersistentFields;java.io.ObjectStreamField[];true;unknown;true;private
java.util.Locale;serialPersistentFields;java.io.ObjectStreamField[];true;unknown;true;private
java.time.zone.ZoneRules;EMPTY_LASTRULES;java.time.zone.ZoneOffsetTransitionRule[];true;unknown;true;private
java.time.zone.ZoneRules;EMPTY_LDT_ARRAY;java.time.LocalDateTime[];true;unknown;true;private
java.time.chrono.IsoEra;$VALUES;java.time.chrono.IsoEra[];true;unknown;true;private
java.util.Locale$FilteringMode;$VALUES;java.util.Locale$FilteringMode[];true;unknown;true;private
